date,composite_index,shanghai_rotterdam,shanghai_genoa,shanghai_la,shanghai_ny,rotterdam_shanghai
2025-02-06,2698.8,2943.9,2902.3,2541.5,3290.7,472.0
2025-02-13,2669.5,2910.4,2891.5,2469.7,3294.4,468.2
2025-02-20,2669.7,2917.1,2911.9,2442.1,3341.7,470.1
2025-02-27,2701.5,2965.6,2963.8,2467.6,3427.8,478.2
2025-03-06,2761.9,3051.5,3042.5,2544.5,3541.6,491.8
2025-03-13,2843.4,3164.9,3138.7,2660.8,3667.7,509.3
2025-03-20,2935.2,3291.5,3239.9,2796.8,3788.7,528.8
2025-03-27,3024.9,3415.4,3332.6,2928.8,3888.3,548.0
2025-04-03,3100.3,3520.8,3404.0,3033.7,3953.0,564.4
2025-04-10,3151.7,3595.0,3444.5,3094.1,3975.5,576.2
2025-04-17,3173.0,3629.7,3448.9,3101.5,3954.7,582.2
2025-04-24,3162.8,3622.3,3417.2,3057.6,3896.3,582.2
2025-05-01,3124.9,3576.8,3355.6,2974.4,3812.4,576.6
2025-05-08,3067.2,3502.2,3274.2,2871.0,3718.5,567.0
2025-05-15,3001.0,3412.1,3187.1,2770.0,3632.2,555.2
2025-05-22,2938.8,3322.0,3109.2,2692.7,3569.7,543.5
2025-05-29,2892.4,3246.8,3054.1,2654.6,3543.3,534.1
2025-06-05,2871.2,3199.2,3032.4,2663.3,3559.9,528.6
2025-06-12,2880.7,3187.4,3050.0,2716.9,3619.4,528.3
2025-06-19,2921.3,3214.0,3106.7,2804.9,3714.8,533.1
2025-06-26,2988.8,3275.8,3196.7,2911.2,3833.9,542.5
2025-07-03,3074.5,3364.5,3309.2,3017.2,3960.3,555.0
2025-07-10,3167.0,3467.8,3430.0,3106.0,4076.7,568.7
2025-07-17,3253.8,3571.8,3543.8,3165.6,4167.4,581.4
2025-07-24,3323.1,3662.7,3636.0,3190.4,4220.3,591.1
2025-07-31,3366.1,3729.4,3695.7,3181.9,4229.9,596.3
2025-08-07,3378.1,3765.0,3716.5,3147.9,4197.2,596.4
2025-08-14,3359.2,3767.7,3697.8,3099.6,4129.9,591.3
2025-08-21,3314.5,3741.0,3645.0,3049.2,4041.3,582.2
2025-08-28,3253.1,3693.0,3568.3,3007.3,3947.9,570.6
2025-09-04,3186.8,3635.1,3481.5,2981.1,3867.0,558.7
2025-09-11,3128.0,3579.7,3399.2,2973.4,3813.9,548.8
2025-09-18,3088.1,3538.7,3335.4,2983.2,3799.6,542.8
2025-09-25,3075.6,3521.2,3301.2,3006.9,3829.1,542.3
2025-10-02,3094.3,3531.8,3302.5,3039.4,3900.1,547.9
2025-10-09,3143.4,3570.6,3340.2,3076.4,4003.9,559.3
2025-10-16,3217.3,3632.6,3409.5,3114.9,4127.0,575.4
2025-10-23,3306.3,3709.0,3501.0,3153.3,4252.3,594.4
2025-10-30,3398.4,3788.3,3602.0,3191.7,4362.6,614.0
2025-11-06,3481.2,3858.8,3699.1,3230.3,4443.2,631.8
2025-11-13,3543.5,3909.9,3779.5,3268.2,4483.7,645.7
2025-11-20,3577.8,3934.9,3833.9,3303.5,4480.6,654.2
2025-11-27,3580.5,3931.0,3856.8,3332.2,4436.7,656.7
2025-12-04,3553.4,3900.8,3848.5,3349.5,4361.7,653.3
2025-12-11,3502.7,3851.2,3813.7,3350.8,4269.8,645.1
2025-12-18,3438.6,3793.0,3761.7,3333.7,4178.3,633.9
2025-12-25,3373.2,3738.5,3703.9,3298.9,4104.2,621.9
2026-01-01,3318.8,3699.9,3652.7,3251.5,4061.5,611.3
2026-01-08,3286.3,3687.4,3619.0,3200.8,4059.9,604.1
2026-01-15,3282.6,3706.5,3610.1,3158.1,4101.9,601.5
2026-01-22,3310.6,3758.4,3629.7,3135.8,4183.7,604.3
2026-01-29,3367.7,3838.4,3675.9,3143.4,4294.7,611.9
2026-02-05,3447.1,3937.5,3742.7,3185.9,4420.2,623.3
2026-02-12,3538.3,4042.9,3820.4,3261.4,4542.9,636.8
2026-02-19,3629.0,4140.6,3897.7,3360.9,4645.9,650.1
2026-02-26,3706.8,4217.0,3963.1,3469.3,4715.6,661.3
2026-03-05,3761.6,4261.9,4007.1,3568.7,4743.5,668.5
2026-03-12,3786.7,4269.1,4024.1,3641.0,4727.7,670.8
2026-03-19,3780.4,4238.6,4012.9,3672.8,4673.6,667.8
2026-03-26,3745.5,4175.8,3977.2,3657.5,4592.0,660.2
2026-04-02,3689.7,4091.2,3924.9,3598.1,4498.4,649.3
2026-04-09,3623.9,3999.1,3867.2,3506.4,4410.2,637.3
2026-04-16,3560.5,3915.0,3816.3,3401.4,4344.0,626.3
2026-04-23,3511.6,3853.6,3783.6,3305.5,4312.7,618.5
2026-04-30,3486.9,3826.5,3777.8,3240.1,4323.8,615.6
2026-05-07,3492.4,3840.2,3803.6,3221.2,4378.1,618.6
2026-05-14,3529.3,3895.5,3860.5,3255.7,4469.7,627.7
2026-05-21,3593.9,3986.9,3942.9,3340.3,4586.8,642.0
2026-05-28,3678.0,4103.5,4040.9,3461.5,4713.3,660.1
2026-06-04,3770.3,4230.8,4141.6,3598.5,4831.8,679.7
2026-06-11,3858.4,4352.6,4231.5,3727.4,4926.3,698.5
2026-06-18,3930.4,4453.6,4298.3,3825.9,4984.3,714.2
2026-06-25,3977.1,4521.7,4333.0,3877.8,4999.5,725.2
2026-07-02,3993.0,4549.3,4331.1,3876.0,4971.7,730.2
2026-07-09,3977.8,4535.1,4293.9,3824.5,4908.1,729.1
2026-07-16,3935.8,4483.8,4228.0,3736.4,4821.2,722.8
2026-07-23,3875.9,4405.6,4144.7,3631.8,4727.4,712.6
2026-07-30,3809.5,4314.5,4058.1,3533.5,4644.1,700.6
2026-08-06,3749.1,4225.7,3983.1,3461.7,4586.9,689.2
2026-08-13,3706.4,4154.4,3933.0,3431.3,4567.5,680.3
2026-08-20,3690.1,4112.4,3917.6,3447.9,4591.4,675.7
2026-08-25,4526.0,4955.0,4955.0,,9507.0,
2026-09-04,4465.0,4368.0,4368.0,7185.0,7185.0,
2026-09-06,4465.0,4368.0,4368.0,7185.0,7185.0,
