date,port,fuel_grade,price_usd_mt
2026-08-31,apac_average,IFO380,669.5
2026-08-31,apac_average,MGO,1352.0
2026-08-31,apac_average,VLSFO,868.5
2026-08-31,emea_average,IFO380,618.0
2026-08-31,emea_average,MGO,1526.0
2026-08-31,emea_average,VLSFO,837.0
2026-08-31,fujairah,IFO380,620.0
2026-08-31,fujairah,MGO,1388.0
2026-08-31,fujairah,VLSFO,795.0
2026-08-31,global_20_ports_average,IFO380,628.0
2026-08-31,global_20_ports_average,MGO,1354.5
2026-08-31,global_20_ports_average,VLSFO,799.0
2026-08-31,global_4_ports_average,IFO380,564.0
2026-08-31,global_4_ports_average,MGO,1245.0
2026-08-31,global_4_ports_average,VLSFO,730.5
2026-08-31,global_average_bunker_price,IFO380,642.5
2026-08-31,global_average_bunker_price,MGO,1443.0
2026-08-31,global_average_bunker_price,VLSFO,848.5
2026-08-31,hong_kong,IFO380,668.5
2026-08-31,hong_kong,MGO,1152.5
2026-08-31,hong_kong,VLSFO,803.5
2026-08-31,houston,IFO380,468.5
2026-08-31,houston,MGO,1212.5
2026-08-31,houston,VLSFO,679.5
2026-08-31,la_/_long_beach,IFO380,693.5
2026-08-31,la_/_long_beach,MGO,1402.5
2026-08-31,la_/_long_beach,VLSFO,835.5
2026-08-31,new_york,IFO380,523.0
2026-08-31,new_york,MGO,1408.5
2026-08-31,new_york,VLSFO,733.5
2026-08-31,rotterdam,IFO380,538.5
2026-08-31,rotterdam,MGO,1233.0
2026-08-31,rotterdam,VLSFO,663.0
2026-08-31,santos,IFO380,511.0
2026-08-31,santos,MGO,1375.0
2026-08-31,santos,VLSFO,780.5
2026-08-31,singapore,IFO380,629.0
2026-08-31,singapore,MGO,1146.0
2026-08-31,singapore,VLSFO,784.5
2026-09-01,americas_average,IFO380,649.5
2026-09-01,americas_average,MGO,1475.0
2026-09-01,americas_average,VLSFO,834.5
2026-09-01,apac_average,IFO380,673.5
2026-09-01,apac_average,MGO,1361.0
2026-09-01,apac_average,VLSFO,881.5
2026-09-01,emea_average,IFO380,631.0
2026-09-01,emea_average,MGO,1569.0
2026-09-01,emea_average,VLSFO,834.5
2026-09-01,fujairah,IFO380,633.5
2026-09-01,fujairah,MGO,1431.0
2026-09-01,fujairah,VLSFO,824.0
2026-09-01,global_20_ports_average,IFO380,635.0
2026-09-01,global_20_ports_average,MGO,1378.0
2026-09-01,global_20_ports_average,VLSFO,810.5
2026-09-01,global_4_ports_average,IFO380,577.0
2026-09-01,global_4_ports_average,MGO,1279.0
2026-09-01,global_4_ports_average,VLSFO,752.5
2026-09-01,global_average_bunker_price,IFO380,652.5
2026-09-01,global_average_bunker_price,MGO,1465.0
2026-09-01,global_average_bunker_price,VLSFO,856.0
2026-09-01,hong_kong,IFO380,682.5
2026-09-01,hong_kong,MGO,1185.5
2026-09-01,hong_kong,VLSFO,828.5
2026-09-01,houston,IFO380,483.5
2026-09-01,houston,MGO,1235.0
2026-09-01,houston,VLSFO,701.0
2026-09-01,la_/_long_beach,IFO380,692.5
2026-09-01,la_/_long_beach,MGO,1467.0
2026-09-01,la_/_long_beach,VLSFO,845.0
2026-09-01,new_york,IFO380,526.0
2026-09-01,new_york,MGO,1390.5
2026-09-01,new_york,VLSFO,742.5
2026-09-01,rotterdam,IFO380,552.5
2026-09-01,rotterdam,MGO,1258.0
2026-09-01,rotterdam,VLSFO,671.5
2026-09-01,santos,IFO380,511.0
2026-09-01,santos,MGO,1388.5
2026-09-01,santos,VLSFO,792.5
2026-09-01,singapore,IFO380,639.5
2026-09-01,singapore,MGO,1192.5
2026-09-01,singapore,VLSFO,812.5
2026-09-02,americas_average,IFO380,654.5
2026-09-02,americas_average,MGO,1470.0
2026-09-02,americas_average,VLSFO,843.0
2026-09-02,apac_average,IFO380,679.5
2026-09-02,apac_average,MGO,1370.5
2026-09-02,apac_average,VLSFO,886.5
2026-09-02,emea_average,IFO380,635.5
2026-09-02,emea_average,MGO,1597.5
2026-09-02,emea_average,VLSFO,843.0
2026-09-02,fujairah,IFO380,639.0
2026-09-02,fujairah,MGO,1447.0
2026-09-02,fujairah,VLSFO,844.0
2026-09-02,global_20_ports_average,IFO380,648.0
2026-09-02,global_20_ports_average,MGO,1411.5
2026-09-02,global_20_ports_average,VLSFO,821.5
2026-09-02,global_4_ports_average,IFO380,583.5
2026-09-02,global_4_ports_average,MGO,1311.0
2026-09-02,global_4_ports_average,VLSFO,768.0
2026-09-02,global_average_bunker_price,IFO380,657.5
2026-09-02,global_average_bunker_price,MGO,1476.5
2026-09-02,global_average_bunker_price,VLSFO,863.0
2026-09-02,hong_kong,IFO380,648.5
2026-09-02,hong_kong,MGO,1228.0
2026-09-02,hong_kong,VLSFO,816.0
2026-09-02,houston,IFO380,495.5
2026-09-02,houston,MGO,1278.5
2026-09-02,houston,VLSFO,706.0
2026-09-02,la_/_long_beach,IFO380,701.5
2026-09-02,la_/_long_beach,MGO,1509.0
2026-09-02,la_/_long_beach,VLSFO,856.0
2026-09-02,new_york,IFO380,535.5
2026-09-02,new_york,MGO,1412.5
2026-09-02,new_york,VLSFO,751.0
2026-09-02,rotterdam,IFO380,557.0
2026-09-02,rotterdam,MGO,1295.0
2026-09-02,rotterdam,VLSFO,683.5
2026-09-02,santos,IFO380,511.0
2026-09-02,santos,MGO,1381.5
2026-09-02,santos,VLSFO,801.0
2026-09-02,singapore,IFO380,642.5
2026-09-02,singapore,MGO,1222.5
2026-09-02,singapore,VLSFO,838.0
2026-09-03,americas_average,IFO380,664.5
2026-09-03,americas_average,MGO,1489.0
2026-09-03,americas_average,VLSFO,851.5
2026-09-03,apac_average,IFO380,688.0
2026-09-03,apac_average,MGO,1387.0
2026-09-03,apac_average,VLSFO,907.5
2026-09-03,emea_average,IFO380,646.0
2026-09-03,emea_average,MGO,1636.5
2026-09-03,emea_average,VLSFO,847.5
2026-09-03,fujairah,IFO380,649.5
2026-09-03,fujairah,MGO,1457.0
2026-09-03,fujairah,VLSFO,859.5
2026-09-03,global_20_ports_average,IFO380,656.0
2026-09-03,global_20_ports_average,MGO,1444.5
2026-09-03,global_20_ports_average,VLSFO,840.0
2026-09-03,global_4_ports_average,IFO380,597.0
2026-09-03,global_4_ports_average,MGO,1349.5
2026-09-03,global_4_ports_average,VLSFO,780.0
2026-09-03,global_average_bunker_price,IFO380,667.0
2026-09-03,global_average_bunker_price,MGO,1501.0
2026-09-03,global_average_bunker_price,VLSFO,876.5
2026-09-03,hong_kong,IFO380,702.0
2026-09-03,hong_kong,MGO,1267.0
2026-09-03,hong_kong,VLSFO,877.0
2026-09-03,houston,IFO380,516.5
2026-09-03,houston,MGO,1338.0
2026-09-03,houston,VLSFO,723.0
2026-09-03,la_/_long_beach,IFO380,715.0
2026-09-03,la_/_long_beach,MGO,1547.5
2026-09-03,la_/_long_beach,VLSFO,872.5
2026-09-03,new_york,IFO380,541.0
2026-09-03,new_york,MGO,1434.0
2026-09-03,new_york,VLSFO,755.0
2026-09-03,rotterdam,IFO380,564.0
2026-09-03,rotterdam,MGO,1358.0
2026-09-03,rotterdam,VLSFO,682.0
2026-09-03,santos,IFO380,511.0
2026-09-03,santos,MGO,1377.5
2026-09-03,santos,VLSFO,815.0
2026-09-03,singapore,IFO380,657.5
2026-09-03,singapore,MGO,1246.0
2026-09-03,singapore,VLSFO,856.0
2026-09-07,americas_average,IFO380,672.5
2026-09-07,americas_average,MGO,1513.0
2026-09-07,americas_average,VLSFO,859.5
2026-09-07,apac_average,IFO380,683.0
2026-09-07,apac_average,MGO,1385.5
2026-09-07,apac_average,VLSFO,914.0
2026-09-07,emea_average,IFO380,652.0
2026-09-07,emea_average,MGO,1628.5
2026-09-07,emea_average,VLSFO,823.5
2026-09-07,fujairah,IFO380,644.5
2026-09-07,fujairah,MGO,1447.0
2026-09-07,fujairah,VLSFO,852.0
2026-09-07,global_20_ports_average,IFO380,656.0
2026-09-07,global_20_ports_average,MGO,1445.5
2026-09-07,global_20_ports_average,VLSFO,828.0
2026-09-07,global_4_ports_average,IFO380,596.5
2026-09-07,global_4_ports_average,MGO,1341.5
2026-09-07,global_4_ports_average,VLSFO,775.0
2026-09-07,global_average_bunker_price,IFO380,669.5
2026-09-07,global_average_bunker_price,MGO,1504.0
2026-09-07,global_average_bunker_price,VLSFO,875.0
2026-09-07,hong_kong,IFO380,694.5
2026-09-07,hong_kong,MGO,1256.5
2026-09-07,hong_kong,VLSFO,869.0
2026-09-07,houston,IFO380,524.5
2026-09-07,houston,MGO,1318.0
2026-09-07,houston,VLSFO,718.5
2026-09-07,la_/_long_beach,IFO380,717.0
2026-09-07,la_/_long_beach,MGO,1654.0
2026-09-07,la_/_long_beach,VLSFO,944.0
2026-09-07,new_york,IFO380,541.0
2026-09-07,new_york,MGO,1433.5
2026-09-07,new_york,VLSFO,757.5
2026-09-07,rotterdam,IFO380,575.5
2026-09-07,rotterdam,MGO,1355.5
2026-09-07,rotterdam,VLSFO,681.5
2026-09-07,santos,IFO380,511.0
2026-09-07,santos,MGO,1375.5
2026-09-07,santos,VLSFO,820.5
2026-09-07,singapore,IFO380,642.0
2026-09-07,singapore,MGO,1246.0
2026-09-07,singapore,VLSFO,848.0
2026-09-08,americas_average,IFO380,668.5
2026-09-08,americas_average,MGO,1521.0
2026-09-08,americas_average,VLSFO,860.5
2026-09-08,apac_average,IFO380,686.0
2026-09-08,apac_average,MGO,1396.0
2026-09-08,apac_average,VLSFO,913.5
2026-09-08,emea_average,IFO380,658.0
2026-09-08,emea_average,MGO,1641.5
2026-09-08,emea_average,VLSFO,818.0
2026-09-08,fujairah,IFO380,648.5
2026-09-08,fujairah,MGO,1455.0
2026-09-08,fujairah,VLSFO,849.0
2026-09-08,global_20_ports_average,IFO380,663.0
2026-09-08,global_20_ports_average,MGO,1457.5
2026-09-08,global_20_ports_average,VLSFO,831.5
2026-09-08,global_4_ports_average,IFO380,601.5
2026-09-08,global_4_ports_average,MGO,1357.0
2026-09-08,global_4_ports_average,VLSFO,774.0
2026-09-08,global_average_bunker_price,IFO380,671.5
2026-09-08,global_average_bunker_price,MGO,1513.5
2026-09-08,global_average_bunker_price,VLSFO,873.5
2026-09-08,hong_kong,IFO380,700.0
2026-09-08,hong_kong,MGO,1271.5
2026-09-08,hong_kong,VLSFO,873.0
2026-09-08,houston,IFO380,528.0
2026-09-08,houston,MGO,1307.5
2026-09-08,houston,VLSFO,721.5
2026-09-08,la_/_long_beach,IFO380,728.0
2026-09-08,la_/_long_beach,MGO,1673.0
2026-09-08,la_/_long_beach,VLSFO,965.0
2026-09-08,new_york,IFO380,538.0
2026-09-08,new_york,MGO,1428.0
2026-09-08,new_york,VLSFO,759.0
2026-09-08,rotterdam,IFO380,588.5
2026-09-08,rotterdam,MGO,1417.0
2026-09-08,rotterdam,VLSFO,682.5
2026-09-08,santos,IFO380,511.0
2026-09-08,santos,MGO,1394.5
2026-09-08,santos,VLSFO,832.0
2026-09-08,singapore,IFO380,640.5
2026-09-08,singapore,MGO,1247.5
2026-09-08,singapore,VLSFO,842.0
