year,week,published_date,sale_date,vessel_name,vessel_type,build_date,seller,source
2026,9,,2/28/2026,Ghada A,GEN CARGO,Jun 1972,Ammoun Shipping,ShipAndBunker_VesselsValue
2026,9,,2/28/2026,UST Orda,GEN CARGO,Jun 1977,Angara Denizcilik ve Ticaret,ShipAndBunker_VesselsValue
2026,9,,2/28/2026,AF Francesca,CRUISEFERRY,Jun 1979,Adria Ferries,ShipAndBunker_VesselsValue
2026,8,,24-02-2026,Xing Fa,SMALL TANKER,Apr 2004,Hong Kong Tian Cheng Intl Ship,ShipAndBunker_VesselsValue
2026,8,,23-02-2026,Xing Fa,SMALL TANKER,Jul 2003,Gold Charm International Enterprise,ShipAndBunker_VesselsValue
2026,8,,21-02-2026,Bianca,HANDY TANKER,Oct 2003,Babylon Navigation DMCC,ShipAndBunker_VesselsValue
2026,7,,17-02-2026,Sunny Spruce,FEEDER,Apr 1996,KMTC,ShipAndBunker_VesselsValue
2026,7,,16-02-2026,Atlas,MPP,Oct 1995,Alphamoon Shipping Management,ShipAndBunker_VesselsValue
2026,7,,16-02-2026,Rich Lucky 13,MPP,Feb 1994,Friends Shipping Co,ShipAndBunker_VesselsValue
2026,7,,15-02-2026,Diana,PANAMAX MT,Apr 2004,Aleah Shipping,ShipAndBunker_VesselsValue
2026,7,,13-02-2026,Chiltern,HANDY TANKER,Jan 1999,Millennium Ships Management,ShipAndBunker_VesselsValue
2026,6,,07-02-2026,Sele/Pertamina 3006,HANDY TANKER,Sep 1982,Pertamina,ShipAndBunker_VesselsValue
2026,6,,06-02-2026,Wan Hai 506,PANAMAX CONT,Nov 2005,Wan Hai Lines,ShipAndBunker_VesselsValue
2026,6,,06-02-2026,Beihai,CAPESIZE,Feb 2002,Lila Global,ShipAndBunker_VesselsValue
2026,6,,06-02-2026,Isa Golden,HANDY BULKER,Nov 1995,Isa Lines,ShipAndBunker_VesselsValue
2026,5,,03-02-2026,Woodchip,SUEZMAX,Jul 1993,Veline Shiptrade,ShipAndBunker_VesselsValue
2026,5,,31-01-2026,Armu,MPP,Feb 1995,Acrex Corp,ShipAndBunker_VesselsValue
2026,5,,30-01-2026,Martine A,FEEDERMAX,Oct 1993,Arkas Line,ShipAndBunker_VesselsValue
2026,4,,27-01-2026,Global Star,SMALL TANKER,Apr 1999,Glory International,ShipAndBunker_VesselsValue
2026,4,,27-01-2026,Yun Da You 6,SMALL TANKER,Oct 2005,Vitality Winner,ShipAndBunker_VesselsValue
2026,4,,27-01-2026,Yong Ang,REEFER,Feb 1998,Resurgence Ship Management,ShipAndBunker_VesselsValue
2026,4,,25-01-2026,Hong Li,HANDY BULKER,Aug 1995,Hong Kong Xin Hui Shipping Group,ShipAndBunker_VesselsValue
2026,4,,25-01-2026,Quartz,HANDY TANKER,Dec 1996,Luckin Maritime Co,ShipAndBunker_VesselsValue
2026,4,,25-01-2026,Lumoso Permai,HANDYMAX,Sep 1994,Lumoso Pratama Line,ShipAndBunker_VesselsValue
