user_ticker,target_symbol,sector,company_name,is_sec
SOFF,SOFF.OL,Offshore Support,Solstad Offshore ASA,False
EIOF,EIOF.OL,Offshore Support,Eidesvik Offshore ASA,False
TEN,TEN,Tankers,Tsakos Energy Navigation Limited,True
TNK,TNK,Tankers,Teekay Tankers Ltd.,True
BOAT,BOAT,Shipping ETF,SonicShares Global Shipping ETF,True
SLB,SLB,Offshore / Energy Services,SLB N.V.,True
DLF,DLF.NS,Real Estate / Infrastructure,DLF Limited,False
DO,DO,Offshore Drilling,"Diamond Offshore Drilling, Inc.",True
A010620,010620.KS,Shipbuilding,"HD Hyundai Mipo Co., Ltd.",False
JIN,JIN.OL,Dry Bulk,Jinhui Shipping and Transportation Limited,False
SFL,SFL,Diversified Fleet,SFL Corporation Ltd.,True
DSX,DSX,Dry Bulk,Diana Shipping Inc.,True
MPCC,MPCC.OL,Containers,MPC Container Ships ASA,False
VSSABB,VSSAB-B.ST,Offshore / Icebreaking,Viking Supply Ships AB,False
SDRL,SDRL,Offshore Drilling,Seadrill Limited,True
GSL,GSL,Containers,"Global Ship Lease, Inc.",True
PCFBY,2343.HK,Dry Bulk,Pacific Basin Shipping Limited,False
TRMDA,TRMD,Tankers,TORM plc (Nasdaq/Copenhagen),True
GNK,GNK,Dry Bulk,Genco Shipping & Trading Limited,True
TRMD,TRMD,Tankers,TORM plc,True
EXM,EXMB.BR,Gas / Offshore,Exmar NV,False
MAZDOC,MAZDOCK.NS,Shipbuilding,Mazagon Dock Shipbuilders Limited,False
VIK,VIK,Cruise,Viking Holdings Ltd,True
CKN,CKN.L,Shipbroking,Clarkson PLC,False
TDW,TDW,Offshore Support,Tidewater Inc.,True
0NIS,SBMO.AS,Offshore FPSO,SBM Offshore N.V.,False
GCC,GCC.OL,Car Carriers,Gram Car Carriers ASA,False
DHT,DHT,Tankers,"DHT Holdings, Inc.",True
GLNG,GLNG,LNG Gas,Golar LNG Limited,True
ESEA,ESEA,Containers,Euroseas Ltd.,True
2603,2603.TW,Containers,Evergreen Marine Corporation,False
HAFNI,HAFN,Product Tankers,Hafnia Limited,True
BTM,BTM.SI,Passenger / Ferry,Penguin International Limited,False
ASC,ASC,Product Tankers,Ardmore Shipping Corporation,True
GRSE,GRSE.NS,Shipbuilding,Garden Reach Shipbuilders,False
KNOP,KNOP,Shuttle Tankers,KNOT Offshore Partners LP,True
NVGS,NVGS,LPG Gas,Navigator Holdings Ltd.,True
601872,601872.SS,Tankers / Dry Bulk,China Merchants Energy Shipping,False
PORT3,PORT3.SA,Port Terminals / Towage,Wilson Sons S.A.,False
HAL,HAL,Offshore / Energy Services,Halliburton Company,True
ATCOPR,ATCO-PD,Diversified Fleet,Atlas Corp.,True
CTRM,CTRM,Dry Bulk / Tankers,Castor Maritime Inc.,True
KCC,KCC.OL,Combination Carriers,Klaveness Combination Carriers,False
COCHINSHIP,COCHINSHIP.NS,Shipbuilding,Cochin Shipyard Limited,False
FLNG,FLNG,LNG Gas,FLEX LNG Ltd.,True
BEZ,BEZ.SI,Offshore / Marine Services,Beng Kuang Marine Limited,False
EIM,EIM.IC,Containers / Logistics,Eimskipafelag Islands hf.,False
SEA1,SEA1.OL,Offshore Support,Sea1 Offshore Inc.,False
KEX,KEX,Inland Barging / Tankers,Kirby Corporation,True
DOFG,DOFG.OL,Offshore Support,DOF Group ASA,False
BELCO,BELCO.OL,Dry Bulk,Belships ASA,False
1919,1919.HK,Containers,"COSCO SHIPPING Holdings Co., Ltd.",False
WEST,WEST.OL,Dry Bulk Operator,Western Bulk Chartering AS,False
STNG,STNG,Product Tankers,Scorpio Tankers Inc.,True
7014,7014.T,Shipbuilding,"Namura Shipbuilding Co., Ltd.",False
GESHIP,GEPIL.NS,Tankers / Dry Bulk,The Great Eastern Shipping Company,False
DIS,DIS.MI,Product Tankers,d'Amico International Shipping S.A.,False
VAPORES,VAPORES.SN,Containers,Compania Sud Americana de Vapores,False
HAVI,HAVI.OL,Offshore Support,Havila Shipping ASA,False
SNI,SNI.OL,Chemical Tankers,Stolt-Nielsen Limited,False
NE,NE,Offshore Drilling,Noble Corporation plc,True
OROVY,0316.HK,Containers,Orient Overseas (International) Limited,False
ZIM,ZIM,Containers,ZIM Integrated Shipping Services Ltd.,True
HLAG,HLAG.DE,Containers,Hapag-Lloyd Aktiengesellschaft,False
BMS,BMS.L,Shipbroking,Braemar Plc,False
CADLR,CDLR,Offshore Wind,Cadeler A/S,True
DVD,DVD.OL,Offshore Drilling,Deep Value Driller AS,False
CPLP,CPLP,LNG / Multipurpose,Capital Clean Energy Carriers Corp.,True
OSG,OSG,US Flag Tankers,"Overseas Shipholding Group, Inc.",True
EQVA,EQVA.OL,Industrial / Marine,Eqva ASA,False
ODF,ODF.OL,Chemical Tankers,Odfjell SE,False
GASS,GASS,LPG Gas,StealthGas Inc.,True
SDSD,SDSD.OL,Offshore / Energy Transition,S.D. Standard ETC Plc,False
5E2,S51.SI,Shipyard / Rig Building,Seatrium Limited,False
PANL,PANL,Dry Bulk / Ice-class,Pangaea Logistics Solutions Ltd.,True
RCL,RCL,Cruise,Royal Caribbean Cruises Ltd.,True
ODL,ODL.OL,Offshore Drilling,Odfjell Drilling Ltd.,False
A009540,009540.KS,Shipbuilding,HD Korea Shipbuilding & Offshore,False
VAL,VAL,Offshore Drilling,Valaris Limited,True
RIG,RIG,Offshore Drilling,Transocean Ltd.,True
2609,2609.TW,Containers,Yang Ming Marine Transport,False
A010140,010140.KS,Shipbuilding,Samsung Heavy Industries Co.,False
603209,603209.SS,Chemical / Product Tankers,"Xingtong Shipping Co., Ltd.",False
CMRE,CMRE,Containers / Dry Bulk,Costamare Inc.,True
DLNG,DLNG,LNG Carriers,Dynagas LNG Partners LP,True
533427,533427.BO,Ship Dismantling / Scrap,VMS Industries Limited,False
601975,601975.SS,Product Tankers,Nanjing Tanker Corporation,False
ASB,ASB.AX,Shipbuilding / Defense,Austal Limited,False
600026,600026.SS,Tankers / LNG,COSCO SHIPPING Energy Transportation,False
FCT,FCT.MI,Shipbuilding,Fincantieri S.p.A.,False
DORI,DORI.OL,Offshore Drilling,Dolphin Drilling AS,False
NOL,NOL.OL,Offshore Drilling,Northern Ocean Ltd.,False
5UL,5UL.SI,Offshore Support,Atlantic Navigation Holdings,False
CCL,CCL,Cruise,Carnival Corporation & plc,True
SVRN,SVRN,Dry Bulk,OceanPal Inc. (SVRN),True
GEOS,GEOS.OL,Offshore Support,Golden Energy Offshore Services,False
601022,601022.SS,Containers / Feeder,Ningbo Ocean Shipping Co.,False
MMLP,MMLP,Marine Towage / Gas,Martin Midstream Partners L.P.,True
A042660,042660.KS,Shipbuilding,"Hanwha Ocean Co., Ltd.",False
BWO,BWO.OL,Offshore FPSO,BW Offshore Limited,False
PSHG,PSHG,Tankers,Performance Shipping Inc.,True
7012,7012.T,Heavy Industry / Shipbuilding,Kawasaki Heavy Industries,False
BORR,BORR,Offshore Jackups,Borr Drilling Limited,True
NCLH,NCLH,Cruise,Norwegian Cruise Line Holdings,True
1MZ,1MZ.SI,Offshore Shipbuilding,Nam Cheong Limited,False
7013,7013.T,Heavy Industry / Shipbuilding,IHI Corporation,False
ALNG,ALNG.OL,LNG Gas,Awilco LNG ASA,False
7003,7003.T,Marine Engines / Cranes,"MITSUI E&S Co., Ltd.",False
OMEX,OMEX,Marine Exploration,"Odyssey Marine Exploration, Inc.",True
HTCO,HTCO,Logistics,High-Trend International Group,True
NFE,NFE,LNG Infrastructure,New Fortress Energy Inc.,True
TOPS,TOPS,Tankers,Top Ships Inc.,True
2020,2020.OL,Newcastlemax Dry Bulk,2020 Bulkers Ltd.,False
AGAS,AGAS.OL,VLGC Gas,Avance Gas Holding Ltd,False
SCOIN,SDSD.OL,Offshore / Tech,StandardCoin / S.D. Standard,False
AMSC,AMSC.OL,Jones Act Tankers / Offshore,AMSC ASA,False
TRTN,TRTN,Container Leasing,Triton International Limited,True
DOF,DOFG.OL,Offshore Support,DOF Group ASA,False
NMPQY,NMPQY,Dry Bulk / Logistics,Navios Maritime Holdings Inc.,True
VALE,VALE,Mining / Iron Ore,Vale S.A.,True
RIO,RIO,Mining / Diversified & Iron Ore,Rio Tinto plc,True
BHP,BHP,Mining / Diversified & Iron Ore,BHP Group Limited,True
TECK,TECK,Mining / Met Coal & Copper,Teck Resources Limited,True
SID,SID,Mining & Steel / Iron Ore,Companhia Siderurgica Nacional,True
FCX,FCX,Mining / Copper & Gold,Freeport-McMoRan Inc.,True
AA,AA,Mining & Smelting / Bauxite,Alcoa Corporation,True
MT,MT,Mining & Steel / Capesize Charterer,ArcelorMittal,True
CLF,CLF,Mining & Steel / Great Lakes Bulk,Cleveland-Cliffs Inc.,True
BTU,BTU,Mining / Coal Exporter,Peabody Energy Corporation,True
HCC,HCC,Mining / Met Coal Exporter,"Warrior Met Coal, Inc.",True
AMR,AMR,Mining / Met Coal Exporter,"Alpha Metallurgical Resources, Inc.",True
ARCH,0001037676,Mining / Met Coal Exporter,"Arch Resources, Inc.",True
ADM,ADM,Agri-Bulk / Grain Charterer,Archer-Daniels-Midland Company,True
BG,BG,Agri-Bulk / Grain Charterer,Bunge Global SA,True
FMG,FMG.AX,Mining / Iron Ore,Fortescue Ltd,False
GLEN,GLEN.L,Mining & Trading / Coal & Freight,Glencore plc,False
AAL,AAL.L,Mining / Iron Ore & Met Coal,Anglo American plc,False
S32,S32.AX,"Mining / Manganese, Alumina & Coal",South32 Limited,False
WHC,WHC.AX,Mining / Coal Exporter,Whitehaven Coal Limited,False
YAL,YAL.AX,Mining / Coal Exporter,Yancoal Australia Limited,False
