date,value
08-09-2011,1809.12
11-09-2011,1813.46
12-09-2011,1777.26
13-09-2011,1746.89
14-09-2011,1667.54
15-09-2011,1628.16
18-09-2011,1667.62
19-09-2011,1693.77
20-09-2011,1696.03
21-09-2011,1714.64
22-09-2011,1717.6
25-09-2011,1681.33
26-09-2011,1704.88
27-09-2011,1669.54
28-09-2011,1633.02
29-09-2011,1632.39
02-10-2011,1617.55
03-10-2011,1658.53
04-10-2011,1696.88
05-10-2011,1719.07
06-10-2011,1733.04
09-10-2011,1768.26
10-10-2011,1859.56
11-10-2011,1804.84
12-10-2011,1801.36
13-10-2011,1865.97
16-10-2011,1874.07
17-10-2011,1819.0
18-10-2011,1864.03
19-10-2011,1900.87
20-10-2011,1875.58
23-10-2011,1898.7
24-10-2011,1888.92
25-10-2011,1813.27
26-10-2011,1696.02
27-10-2011,1628.38
30-10-2011,1569.6
31-10-2011,1526.23
01-11-2011,1546.29
02-11-2011,1458.56
03-11-2011,1454.19
06-11-2011,1496.82
07-11-2011,1557.86
08-11-2011,1578.71
09-11-2011,1579.48
10-11-2011,1542.33
13-11-2011,1536.95
14-11-2011,1577.77
15-11-2011,1650.48
16-11-2011,1595.75
17-11-2011,1593.68
20-11-2011,1561.2
21-11-2011,1557.71
22-11-2011,1492.89
23-11-2011,1496.48
24-11-2011,1527.46
27-11-2011,1557.65
28-11-2011,1572.43
29-11-2011,1538.94
30-11-2011,1557.89
01-12-2011,1590.62
04-12-2011,1572.15
05-12-2011,1611.46
06-12-2011,1662.03
07-12-2011,1658.7
08-12-2011,1665.83
11-12-2011,1632.32
12-12-2011,1614.57
13-12-2011,1656.43
14-12-2011,1637.63
15-12-2011,1667.5
18-12-2011,1653.84
19-12-2011,1633.6
20-12-2011,1578.84
21-12-2011,1513.22
22-12-2011,1491.65
02-01-2012,1428.0
03-01-2012,1390.84
04-01-2012,1287.07
05-01-2012,1226.14
08-01-2012,1240.81
09-01-2012,1174.97
10-01-2012,1091.36
11-01-2012,1066.95
12-01-2012,1090.29
15-01-2012,1082.88
16-01-2012,1054.47
17-01-2012,1046.78
18-01-2012,1075.76
19-01-2012,1116.51
22-01-2012,1124.61
23-01-2012,1088.05
24-01-2012,1076.53
25-01-2012,1050.63
26-01-2012,1053.77
29-01-2012,1019.31
30-01-2012,999.68
31-01-2012,994.86
01-02-2012,1049.55
02-02-2012,1069.3
05-02-2012,1063.93
06-02-2012,1087.93
07-02-2012,1112.81
08-02-2012,1112.98
09-02-2012,1135.86
12-02-2012,1098.8
13-02-2012,1082.61
14-02-2012,1050.81
15-02-2012,1068.51
16-02-2012,1065.74
19-02-2012,1040.09
20-02-2012,1037.84
21-02-2012,1058.94
22-02-2012,1090.54
23-02-2012,1115.52
26-02-2012,1135.07
27-02-2012,1089.34
28-02-2012,1073.32
29-02-2012,1089.39
01-03-2012,1087.82
04-03-2012,1080.21
05-03-2012,1036.77
06-03-2012,1040.24
07-03-2012,1026.79
08-03-2012,1031.03
11-03-2012,973.76
12-03-2012,957.46
13-03-2012,921.47
14-03-2012,954.45
15-03-2012,958.28
18-03-2012,935.99
19-03-2012,934.36
20-03-2012,961.05
21-03-2012,964.24
22-03-2012,957.24
25-03-2012,947.3
26-03-2012,963.1
27-03-2012,999.45
28-03-2012,1013.47
29-03-2012,1011.76
01-04-2012,982.34
02-04-2012,991.29
03-04-2012,999.28
04-04-2012,1038.11
09-04-2012,1062.68
10-04-2012,1093.54
11-04-2012,1072.86
12-04-2012,1059.45
15-04-2012,1039.63
16-04-2012,1069.15
17-04-2012,1070.52
18-04-2012,1081.98
19-04-2012,1108.64
22-04-2012,1085.67
23-04-2012,1089.0
24-04-2012,1095.87
25-04-2012,1072.62
26-04-2012,1060.78
29-04-2012,1039.92
30-04-2012,1027.9
01-05-2012,1064.43
02-05-2012,1085.63
03-05-2012,1114.61
07-05-2012,1070.63
08-05-2012,1068.14
09-05-2012,1069.45
10-05-2012,1078.02
13-05-2012,1074.26
14-05-2012,1056.82
15-05-2012,1076.4
16-05-2012,1071.88
17-05-2012,1068.42
20-05-2012,1045.25
21-05-2012,995.36
22-05-2012,955.61
23-05-2012,913.76
24-05-2012,891.16
27-05-2012,898.51
28-05-2012,866.57
29-05-2012,824.66
30-05-2012,834.69
31-05-2012,818.04
05-06-2012,829.94
06-06-2012,858.06
07-06-2012,847.88
10-06-2012,873.84
11-06-2012,867.62
12-06-2012,854.12
13-06-2012,844.21
14-06-2012,835.18
17-06-2012,842.45
18-06-2012,870.88
19-06-2012,837.9
20-06-2012,813.98
21-06-2012,821.16
24-06-2012,823.53
25-06-2012,834.1
26-06-2012,836.63
27-06-2012,822.23
28-06-2012,844.38
01-07-2012,884.44
02-07-2012,984.76
03-07-2012,983.21
04-07-2012,1002.27
05-07-2012,1007.45
08-07-2012,1007.17
09-07-2012,958.39
10-07-2012,936.8
11-07-2012,914.56
12-07-2012,931.28
15-07-2012,952.37
16-07-2012,936.3
17-07-2012,900.75
18-07-2012,893.66
19-07-2012,903.21
22-07-2012,904.76
23-07-2012,889.5
24-07-2012,866.82
25-07-2012,873.12
26-07-2012,878.71
29-07-2012,870.84
30-07-2012,835.84
31-07-2012,831.79
01-08-2012,816.27
02-08-2012,862.05
05-08-2012,870.35
06-08-2012,869.02
07-08-2012,841.59
08-08-2012,852.13
09-08-2012,847.43
12-08-2012,829.18
13-08-2012,838.64
14-08-2012,827.86
15-08-2012,839.09
16-08-2012,855.37
19-08-2012,854.63
20-08-2012,860.26
21-08-2012,846.62
22-08-2012,830.97
23-08-2012,842.48
27-08-2012,864.72
28-08-2012,835.51
29-08-2012,805.1
30-08-2012,809.13
02-09-2012,819.21
03-09-2012,786.99
04-09-2012,738.69
05-09-2012,743.58
06-09-2012,769.95
09-09-2012,788.12
10-09-2012,752.3
11-09-2012,731.7
12-09-2012,745.93
13-09-2012,771.78
16-09-2012,802.26
17-09-2012,861.97
18-09-2012,878.94
19-09-2012,889.01
20-09-2012,886.63
23-09-2012,842.49
24-09-2012,833.82
25-09-2012,801.14
26-09-2012,883.69
27-09-2012,885.01
30-09-2012,925.38
01-10-2012,916.39
02-10-2012,950.43
03-10-2012,1042.73
04-10-2012,1039.26
07-10-2012,995.51
08-10-2012,966.21
09-10-2012,962.01
10-10-2012,1024.03
11-10-2012,1039.81
14-10-2012,1058.05
15-10-2012,1116.29
16-10-2012,1053.48
17-10-2012,1016.26
18-10-2012,1085.35
21-10-2012,1178.87
22-10-2012,1211.73
23-10-2012,1100.05
24-10-2012,1124.45
25-10-2012,1145.12
28-10-2012,1151.81
29-10-2012,1090.15
30-10-2012,1062.49
31-10-2012,1014.43
01-11-2012,1000.0
04-11-2012,960.15
05-11-2012,884.08
06-11-2012,902.46
07-11-2012,983.97
08-11-2012,1044.19
11-11-2012,987.88
12-11-2012,1037.7
13-11-2012,998.65
14-11-2012,983.98
15-11-2012,1024.12
18-11-2012,1026.07
19-11-2012,1002.66
20-11-2012,980.34
21-11-2012,950.62
22-11-2012,948.35
25-11-2012,939.0
26-11-2012,914.72
