date,year,month,volume_kt,hist_5y_min,hist_5y_max,hist_5y_mean
2022-04-01,2022,4,25620.4,18340.6,29120.5,24650.4
2022-05-01,2022,5,27410.6,21510.4,35140.2,29418.4
2022-06-01,2022,6,29710.2,29870.5,34520.3,31906.5
2022-07-01,2022,7,31840.5,29006.2,35620.4,32699.6
2022-08-01,2022,8,32890.4,31340.8,38210.6,34818.5
2022-09-01,2022,9,32010.6,31420.5,37860.5,35286.5
2022-10-01,2022,10,30710.2,30410.8,37890.2,32970.5
2022-11-01,2022,11,30240.8,27140.8,34210.4,30930.4
2022-12-01,2022,12,31890.3,29945.7,38875.8,35489.8
2023-01-01,2023,1,27010.5,24120.4,32410.8,27780.5
2023-02-01,2023,2,22410.8,21540.2,28940.5,23908.5
2023-03-01,2023,3,29120.4,20950.6,28940.7,24472.5
2023-04-01,2023,4,25610.2,18340.6,29120.5,24396.5
2023-05-01,2023,5,31740.8,21510.4,35140.2,28472.4
2023-06-01,2023,6,34390.5,29710.2,33890.7,30944.5
2023-07-01,2023,7,32410.6,31340.6,35620.4,33266.5
2023-08-01,2023,8,35980.2,31340.8,38210.6,34054.4
2023-09-01,2023,9,33210.4,31420.5,37860.5,34910.5
2023-10-01,2023,10,32410.8,30410.8,37890.2,32288.4
2023-11-01,2023,11,31210.5,27140.8,34210.4,30190.5
2023-12-01,2023,12,36436.8,29945.7,37766.4,34092.7
2024-01-01,2024,1,26908.9,24120.4,32410.8,27592.5
2024-02-01,2024,2,26392.8,21540.2,28940.5,23368.6
2024-03-01,2024,3,24391.6,20950.6,29120.4,24508.5
2024-04-01,2024,4,27122.9,18340.6,25620.4,23694.4
2024-05-01,2024,5,30635.8,21510.4,31740.8,27792.5
2024-06-01,2024,6,31271.3,29710.2,34390.5,31044.5
2024-07-01,2024,7,37057.2,31340.6,34120.8,32624.5
2024-08-01,2024,8,32001.3,31340.8,35980.2,33608.4
2024-09-01,2024,9,34410.2,31420.5,37860.5,34324.5
2024-10-01,2024,10,33710.8,30410.8,32410.8,31192.5
2024-11-01,2024,11,32510.4,27140.8,31210.5,29590.5
2024-12-01,2024,12,31840.6,29945.7,36565.8,33826.7
2025-01-01,2025,1,28829.4,24120.4,27710.5,26492.1
2025-02-01,2025,2,24174.7,21540.2,26392.8,22859.0
2025-03-01,2025,3,25839.1,20950.6,29120.4,24950.8
2025-04-01,2025,4,27992.4,23980.2,27122.9,25450.9
2025-05-01,2025,5,32371.5,21510.4,31740.8,28095.6
2025-06-01,2025,6,34222.8,29710.2,34390.5,31324.6
2025-07-01,2025,7,38659.2,31340.6,37057.2,33211.8
2025-08-01,2025,8,37681.5,31340.8,35980.2,33420.6
2025-09-01,2025,9,34810.5,31420.5,37860.5,33782.4
2025-10-01,2025,10,37010.2,30410.8,33710.8,31684.6
2025-11-01,2025,11,36610.4,29150.2,32510.4,30664.5
2025-12-01,2025,12,37410.8,29945.7,36436.8,32881.7
2026-01-01,2026,1,26379.0,24120.4,28829.4,26915.9
2026-02-01,2026,2,26187.4,21540.2,26392.8,23385.8
2026-03-01,2026,3,25768.2,24391.6,29120.4,25928.5
2026-04-01,2026,4,31609.4,24920.8,27992.4,26253.3
2026-05-01,2026,5,25568.8,27410.6,32371.5,30267.8
2026-06-01,2026,6,39667.0,29710.2,34390.5,32161.1
2026-07-01,2026,7,35002.8,31340.6,38659.2,34261.6
2026-08-01,2026,8,34406.4,32001.3,37681.5,34688.7
