date,quarter,commodity,export_volume_mt,export_value_aud_b,primary_vessel_class,provenance
1997-09-01,1997 Q3,Bauxite,1.502,0.035,Capesize / Ultramax,live_disr_jun2026+cache
1997-09-01,1997 Q3,Iron Ore,39.417,0.953,Capesize (C5/C3),live_disr_jun2026+cache
1997-09-01,1997 Q3,LNG,1.849,0.38,LNG Carrier (174k),live_disr_jun2026+cache
1997-09-01,1997 Q3,Metallurgical Coal,22.272,1.418,Panamax / Capesize,live_disr_jun2026+cache
1997-09-01,1997 Q3,Thermal Coal,19.236,0.888,Panamax / Supramax,live_disr_jun2026+cache
1997-12-01,1997 Q4,Bauxite,1.515,0.036,Capesize / Ultramax,live_disr_jun2026+cache
1997-12-01,1997 Q4,Iron Ore,36.582,0.967,Capesize (C5/C3),live_disr_jun2026+cache
1997-12-01,1997 Q4,LNG,2.084,0.436,LNG Carrier (174k),live_disr_jun2026+cache
1997-12-01,1997 Q4,Metallurgical Coal,21.113,1.449,Panamax / Capesize,live_disr_jun2026+cache
1997-12-01,1997 Q4,Thermal Coal,19.736,0.948,Panamax / Supramax,live_disr_jun2026+cache
1998-03-01,1998 Q1,Bauxite,1.14,0.028,Capesize / Ultramax,live_disr_jun2026+cache
1998-03-01,1998 Q1,Iron Ore,31.707,0.857,Capesize (C5/C3),live_disr_jun2026+cache
1998-03-01,1998 Q1,LNG,1.856,0.438,LNG Carrier (174k),live_disr_jun2026+cache
1998-03-01,1998 Q1,Metallurgical Coal,19.655,1.386,Panamax / Capesize,live_disr_jun2026+cache
1998-03-01,1998 Q1,Thermal Coal,19.496,0.955,Panamax / Supramax,live_disr_jun2026+cache
1998-06-01,1998 Q2,Bauxite,0.848,0.021,Capesize / Ultramax,live_disr_jun2026+cache
1998-06-01,1998 Q2,Iron Ore,34.501,1.014,Capesize (C5/C3),live_disr_jun2026+cache
1998-06-01,1998 Q2,LNG,1.86,0.345,LNG Carrier (174k),live_disr_jun2026+cache
1998-06-01,1998 Q2,Metallurgical Coal,21.033,1.488,Panamax / Capesize,live_disr_jun2026+cache
1998-06-01,1998 Q2,Thermal Coal,20.536,1.024,Panamax / Supramax,live_disr_jun2026+cache
1998-09-01,1998 Q3,Bauxite,0.991,0.025,Capesize / Ultramax,live_disr_jun2026+cache
1998-09-01,1998 Q3,Iron Ore,35.804,1.089,Capesize (C5/C3),live_disr_jun2026+cache
1998-09-01,1998 Q3,LNG,1.972,0.385,LNG Carrier (174k),live_disr_jun2026+cache
1998-09-01,1998 Q3,Metallurgical Coal,20.773,1.477,Panamax / Capesize,live_disr_jun2026+cache
1998-09-01,1998 Q3,Thermal Coal,22.366,1.079,Panamax / Supramax,live_disr_jun2026+cache
1998-12-01,1998 Q4,Bauxite,1.577,0.039,Capesize / Ultramax,live_disr_jun2026+cache
1998-12-01,1998 Q4,Iron Ore,34.406,1.027,Capesize (C5/C3),live_disr_jun2026+cache
1998-12-01,1998 Q4,LNG,2.09,0.383,LNG Carrier (174k),live_disr_jun2026+cache
1998-12-01,1998 Q4,Metallurgical Coal,21.202,1.428,Panamax / Capesize,live_disr_jun2026+cache
1998-12-01,1998 Q4,Thermal Coal,21.954,0.985,Panamax / Supramax,live_disr_jun2026+cache
1999-03-01,1999 Q1,Bauxite,1.775,0.044,Capesize / Ultramax,live_disr_jun2026+cache
1999-03-01,1999 Q1,Iron Ore,31.059,0.891,Capesize (C5/C3),live_disr_jun2026+cache
1999-03-01,1999 Q1,LNG,1.921,0.354,LNG Carrier (174k),live_disr_jun2026+cache
1999-03-01,1999 Q1,Metallurgical Coal,20.934,1.348,Panamax / Capesize,live_disr_jun2026+cache
1999-03-01,1999 Q1,Thermal Coal,20.662,0.911,Panamax / Supramax,live_disr_jun2026+cache
1999-06-01,1999 Q2,Bauxite,1.054,0.026,Capesize / Ultramax,live_disr_jun2026+cache
1999-06-01,1999 Q2,Iron Ore,33.915,0.837,Capesize (C5/C3),live_disr_jun2026+cache
1999-06-01,1999 Q2,LNG,1.836,0.302,LNG Carrier (174k),live_disr_jun2026+cache
1999-06-01,1999 Q2,Metallurgical Coal,22.352,1.219,Panamax / Capesize,live_disr_jun2026+cache
1999-06-01,1999 Q2,Thermal Coal,19.846,0.823,Panamax / Supramax,live_disr_jun2026+cache
1999-09-01,1999 Q3,Bauxite,1.985,0.05,Capesize / Ultramax,live_disr_jun2026+cache
1999-09-01,1999 Q3,Iron Ore,37.386,0.926,Capesize (C5/C3),live_disr_jun2026+cache
1999-09-01,1999 Q3,LNG,2.053,0.377,LNG Carrier (174k),live_disr_jun2026+cache
1999-09-01,1999 Q3,Metallurgical Coal,24.632,1.294,Panamax / Capesize,live_disr_jun2026+cache
1999-09-01,1999 Q3,Thermal Coal,19.908,0.797,Panamax / Supramax,live_disr_jun2026+cache
1999-12-01,1999 Q4,Bauxite,1.429,0.036,Capesize / Ultramax,live_disr_jun2026+cache
1999-12-01,1999 Q4,Iron Ore,36.918,0.915,Capesize (C5/C3),live_disr_jun2026+cache
1999-12-01,1999 Q4,LNG,1.939,0.425,LNG Carrier (174k),live_disr_jun2026+cache
1999-12-01,1999 Q4,Metallurgical Coal,24.04,1.273,Panamax / Capesize,live_disr_jun2026+cache
1999-12-01,1999 Q4,Thermal Coal,18.99,0.728,Panamax / Supramax,live_disr_jun2026+cache
2000-03-01,2000 Q1,Bauxite,2.171,0.054,Capesize / Ultramax,live_disr_jun2026+cache
2000-03-01,2000 Q1,Iron Ore,34.665,0.857,Capesize (C5/C3),live_disr_jun2026+cache
2000-03-01,2000 Q1,LNG,1.993,0.543,LNG Carrier (174k),live_disr_jun2026+cache
2000-03-01,2000 Q1,Metallurgical Coal,23.399,1.25,Panamax / Capesize,live_disr_jun2026+cache
2000-03-01,2000 Q1,Thermal Coal,19.07,0.734,Panamax / Supramax,live_disr_jun2026+cache
2000-06-01,2000 Q2,Bauxite,1.674,0.045,Capesize / Ultramax,live_disr_jun2026+cache
2000-06-01,2000 Q2,Iron Ore,40.468,1.119,Capesize (C5/C3),live_disr_jun2026+cache
2000-06-01,2000 Q2,LNG,1.938,0.604,LNG Carrier (174k),live_disr_jun2026+cache
2000-06-01,2000 Q2,Metallurgical Coal,24.738,1.366,Panamax / Capesize,live_disr_jun2026+cache
2000-06-01,2000 Q2,Thermal Coal,21.686,0.879,Panamax / Supramax,live_disr_jun2026+cache
2000-09-01,2000 Q3,Bauxite,2.17,0.061,Capesize / Ultramax,live_disr_jun2026+cache
2000-09-01,2000 Q3,Iron Ore,42.544,1.191,Capesize (C5/C3),live_disr_jun2026+cache
2000-09-01,2000 Q3,LNG,2.0,0.622,LNG Carrier (174k),live_disr_jun2026+cache
2000-09-01,2000 Q3,Metallurgical Coal,26.486,1.495,Panamax / Capesize,live_disr_jun2026+cache
2000-09-01,2000 Q3,Thermal Coal,23.922,1.02,Panamax / Supramax,live_disr_jun2026+cache
2000-12-01,2000 Q4,Bauxite,1.813,0.055,Capesize / Ultramax,live_disr_jun2026+cache
2000-12-01,2000 Q4,Iron Ore,39.691,1.261,Capesize (C5/C3),live_disr_jun2026+cache
2000-12-01,2000 Q4,LNG,1.89,0.677,LNG Carrier (174k),live_disr_jun2026+cache
2000-12-01,2000 Q4,Metallurgical Coal,26.139,1.611,Panamax / Capesize,live_disr_jun2026+cache
2000-12-01,2000 Q4,Thermal Coal,21.301,0.977,Panamax / Supramax,live_disr_jun2026+cache
2001-03-01,2001 Q1,Bauxite,1.589,0.045,Capesize / Ultramax,live_disr_jun2026+cache
2001-03-01,2001 Q1,Iron Ore,36.641,1.152,Capesize (C5/C3),live_disr_jun2026+cache
2001-03-01,2001 Q1,LNG,1.89,0.742,LNG Carrier (174k),live_disr_jun2026+cache
2001-03-01,2001 Q1,Metallurgical Coal,25.755,1.583,Panamax / Capesize,live_disr_jun2026+cache
2001-03-01,2001 Q1,Thermal Coal,20.571,0.976,Panamax / Supramax,live_disr_jun2026+cache
2001-06-01,2001 Q2,Bauxite,1.319,0.035,Capesize / Ultramax,live_disr_jun2026+cache
2001-06-01,2001 Q2,Iron Ore,38.443,1.299,Capesize (C5/C3),live_disr_jun2026+cache
2001-06-01,2001 Q2,LNG,1.75,0.63,LNG Carrier (174k),live_disr_jun2026+cache
2001-06-01,2001 Q2,Metallurgical Coal,27.148,1.908,Panamax / Capesize,live_disr_jun2026+cache
2001-06-01,2001 Q2,Thermal Coal,22.773,1.259,Panamax / Supramax,live_disr_jun2026+cache
2001-09-01,2001 Q3,Bauxite,1.122,0.028,Capesize / Ultramax,live_disr_jun2026+cache
2001-09-01,2001 Q3,Iron Ore,41.821,1.411,Capesize (C5/C3),live_disr_jun2026+cache
2001-09-01,2001 Q3,LNG,2.06,0.775,LNG Carrier (174k),live_disr_jun2026+cache
2001-09-01,2001 Q3,Metallurgical Coal,27.46,2.099,Panamax / Capesize,live_disr_jun2026+cache
2001-09-01,2001 Q3,Thermal Coal,22.806,1.357,Panamax / Supramax,live_disr_jun2026+cache
2001-12-01,2001 Q4,Bauxite,1.189,0.03,Capesize / Ultramax,live_disr_jun2026+cache
2001-12-01,2001 Q4,Iron Ore,39.812,1.37,Capesize (C5/C3),live_disr_jun2026+cache
2001-12-01,2001 Q4,LNG,2.0,0.765,LNG Carrier (174k),live_disr_jun2026+cache
2001-12-01,2001 Q4,Metallurgical Coal,25.717,2.009,Panamax / Capesize,live_disr_jun2026+cache
2001-12-01,2001 Q4,Thermal Coal,21.672,1.299,Panamax / Supramax,live_disr_jun2026+cache
2002-03-01,2002 Q1,Bauxite,1.313,0.033,Capesize / Ultramax,live_disr_jun2026+cache
2002-03-01,2002 Q1,Iron Ore,35.189,1.156,Capesize (C5/C3),live_disr_jun2026+cache
2002-03-01,2002 Q1,LNG,1.83,0.592,LNG Carrier (174k),live_disr_jun2026+cache
2002-03-01,2002 Q1,Metallurgical Coal,26.386,2.032,Panamax / Capesize,live_disr_jun2026+cache
2002-03-01,2002 Q1,Thermal Coal,25.294,1.449,Panamax / Supramax,live_disr_jun2026+cache
2002-06-01,2002 Q2,Bauxite,1.806,0.045,Capesize / Ultramax,live_disr_jun2026+cache
2002-06-01,2002 Q2,Iron Ore,39.308,1.223,Capesize (C5/C3),live_disr_jun2026+cache
2002-06-01,2002 Q2,LNG,1.71,0.481,LNG Carrier (174k),live_disr_jun2026+cache
2002-06-01,2002 Q2,Metallurgical Coal,26.269,1.898,Panamax / Capesize,live_disr_jun2026+cache
2002-06-01,2002 Q2,Thermal Coal,23.575,1.26,Panamax / Supramax,live_disr_jun2026+cache
2002-09-01,2002 Q3,Bauxite,1.898,0.041,Capesize / Ultramax,live_disr_jun2026+cache
2002-09-01,2002 Q3,Iron Ore,46.009,1.434,Capesize (C5/C3),live_disr_jun2026+cache
2002-09-01,2002 Q3,LNG,2.0,0.686,LNG Carrier (174k),live_disr_jun2026+cache
2002-09-01,2002 Q3,Metallurgical Coal,25.278,1.852,Panamax / Capesize,live_disr_jun2026+cache
2002-09-01,2002 Q3,Thermal Coal,25.125,1.257,Panamax / Supramax,live_disr_jun2026+cache
2002-12-01,2002 Q4,Bauxite,1.847,0.041,Capesize / Ultramax,live_disr_jun2026+cache
2002-12-01,2002 Q4,Iron Ore,45.363,1.382,Capesize (C5/C3),live_disr_jun2026+cache
2002-12-01,2002 Q4,LNG,1.95,0.67,LNG Carrier (174k),live_disr_jun2026+cache
2002-12-01,2002 Q4,Metallurgical Coal,26.423,1.934,Panamax / Capesize,live_disr_jun2026+cache
2002-12-01,2002 Q4,Thermal Coal,25.515,1.168,Panamax / Supramax,live_disr_jun2026+cache
2003-03-01,2003 Q1,Bauxite,1.856,0.037,Capesize / Ultramax,live_disr_jun2026+cache
2003-03-01,2003 Q1,Iron Ore,44.04,1.257,Capesize (C5/C3),live_disr_jun2026+cache
2003-03-01,2003 Q1,LNG,1.952,0.638,LNG Carrier (174k),live_disr_jun2026+cache
2003-03-01,2003 Q1,Metallurgical Coal,27.682,1.89,Panamax / Capesize,live_disr_jun2026+cache
